Идентификатор,Заголовок,Описание,"Дата публикации",Рейтинг,"Кол-во лайков","Кол-во комментариев","Название места","Адрес места","Локация места",Ссылка
51670,"В Петербурге завершили благоустройство бульвара Новаторов","<p>В Кировском районе новое пространство для прогулок.</p>",2024,10,10,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/v-peterburge-zavershili-blagoustrojstvo-bulvara-novatorov/",,,,
51669,"В Ленобласти продолжается грибной сезон","<p>Охота за клюквой в самом разгаре.</p>",2024,10,10,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/v-lenoblasti-prodolzhaetsya/",,,,
51665,"Планета против: рецензия на фильм «Говорит Земля!»","<p>В кинотеатрах уже идёт легкомысленная, но забавная комедия «Говорит Земля!». Евгений Корчагин, снимавший «Михалыча» и «Войну семей» для телеканала ТНТ, посвятил свой полнометражный дебют проблемам экологии. Впрочем, довольно поверхностно. Какой получилась экокомедия, читайте в нашей рецензии. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про <a href=""https://kudago.com/spb/kino/"" target=""_blank"" title=""киноафиша ""><u>кино</u></a>.</p>",2024,10,10,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/retsenziya-na-film-govorit-zemlya/",,,,
51662,"В Японии выпустили самый маленький кубик Рубика в истории","<p>Рекорд подтвердили официально.</p>",2024,10,9,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/v-yaponii-vyipustili-samyij/",,,,
51661,"Вышел дебютный трейлер байопика про Боба Дилана","<p>Кинолента расскажет о молодости поэта и певца.</p>",2024,10,9,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/trejler-bajopika-pro-boba-dilana/",,,,
51660,"Роман «Йеллоуфейс» Ребекки Куанг экранизируют","<p>Печатная история о присвоенной книге стала бестселлером. </p>",2024,10,9,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/jelloufejs-rebekki-kuang-ekraniziruyut/",,,,
51659,"В новом трейлере «Моаны 2» герои противостоят богине","<p>Их цель — снять проклятие.</p>",2024,10,9,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/v-novom-trejlere-moanyi-2-geroi/",,,,
51657,"Объявлена дата премьеры экранизации «Ста лет одиночества»","<p>Первый сезон покажут в декабре.</p>",2024,10,9,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/data-premery-sto-let-odinochestva/",,,,
51655,"Сад-трансформер на Исаакиевской площади демонтировали","<p>Деревья и кусты высадят в парках города.</p>",2024,10,9,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/sad-transformer-na-isaakievskoj/",,,,
51656,"В Петербурге могут ввести бесплатный день для посещения музеев раз в месяц","<p>Культурный досуг должен стать доступнее.</p>",2024,10,9,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/besplatnyj-den-dlya-posesheniya-muzeev-peterburg/",,,,
51654,"Кронверкский мост у Петропавловской крепости закрыли на ремонт","<p>Он закончится в следующем году.</p>",2024,10,9,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/kronverkskij-most-u/",,,,
51652,"Ветер крепчает в Петербурге","<p>Об этом горожан предупреждает МЧС.</p>",2024,10,9,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/veter-krepchaet-v-peterburge/",,,,
51649,"Сотни гусиных стай сейчас пролетают над Петербургом","<p>Они направляются на юг.</p>",2024,10,8,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/sotni-gusinyih-staj-sejchas/",,,,
51647,"Турецкие пастухи требуют от фермеров оплачивать интернет для просмотра TikTok","<p>Работодатели соглашаются на их условия.</p>",2024,10,8,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/turetskie-pastuhi-trebuyut-ot/",,,,
51645,"В Ленобласти спасли раненого лебедя","<p>Он идёт на поправку.</p>",2024,10,8,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/v-lenoblasti-spasli-ranenogo/",,,,
51644,"В Петербурге идёт установка видеокамер на детских и спортивных площадках","<p>Оснастить планируют свыше 300 объектов.</p>",2024,10,8,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/v-peterburge-idyot-ustanovka/",,,,
51641,"Трамваи вернулись на Косую линию и Детскую улицу в Петербурге","<p>Их трассы меняли из-за строительства продолжения оранжевой линии подземки.</p>",2024,10,8,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/tramvai-vernulis-na-kosuyu-liniyu/",,,,
